trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-52.885222886741076,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-128.1613974306234,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-171.3846203155168,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-145.1839048723049,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,9,-49.15824459598928,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-59.15372228428586,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-67.55650433983074,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-152.2154331697325,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,10,-14.926149918363492,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,8,-58.44230235355065,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 1}",1
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-51.292960227811655,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-190.1293230774692,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-100.32360934165479,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-115.0121731559956,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-67.23538145719142,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-51.86038228444694,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-146.0620664336846,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-137.76839569552058,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-208.62553947557797,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-21.575523693052503,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-164.98731154065698,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-130.22643245442376,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-59.604441317315406,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-61.0577538421657,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,0,-149.08016677849608,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-77.24513455442154,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-44.764303791220094,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-80.40342369239708,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-41.54738025146189,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
